dates,date,calories,calorie
2024-07-10,2024-07-10,2000,2000
2024-07-11,2024-07-11,1700,1700
2024-07-12,2024-07-12,1550,1550
2024-07-14,2024-07-14,2230,2230
2024-07-15,2024-07-15,1980,1980
2024-07-16,2024-07-16,2300,2300
2024-07-17,2024-07-17,2100,2100
2024-07-19,2024-07-19,2500,2500
2024-07-21,2024-07-21,2400,2400
2024-07-22,2024-07-22,2450,2450
2024-07-23,2024-07-23,1800,1800
2024-07-24,2024-07-24,2240,2240
2024-07-25,2024-07-25,2640,2640
2024-07-26,2024-07-26,1840,1840
2024-07-27,2024-07-27,1940,1940
2024-07-28,2024-07-28,2040,2040
2024-07-29,2024-07-29,2040,2040
2024-07-30,2024-07-30,2340,2340
